u,987
im,462
go,416
get,364
come,292
call,287
ltgt,276
ok,272
dont,268
know,244
ill,242
like,242
ur,240
love,236
got,232
good,223
time,220
day,219
want,212
need,175
one,170
lor,160
home,160
sorri,153
see,152
think,152
still,146
take,141
say,138
tell,138
send,135
n,135
later,134
make,134
today,133
da,131
r,131
work,131
back,129
well,127
ask,126
cant,120
hope,119
happi,118
hi,117
meet,117
miss,116
much,112
oh,111
thing,111
night,110
wat,108
hey,106
give,105
great,102
that,101
dear,100
way,100
pls,98
wait,95
right,93
feel,92
friend,89
alreadi,89
thank,89
let,87
said,86
text,86
pick,85
yeah,85
realli,85
phone,84
even,83
didnt,83
leav,82
amp,82
morn,81
tomorrow,80
pleas,79
e,78
sure,77
cos,76
ive,75
tri,75
care,75
anyth,74
sleep,74
life,74
babe,74
lol,73
would,72
week,72
smile,71
buy,71
yes,71
k,71
keep,70
someth,69
watch,69
wish,69
number,68
also,68
new,67
finish,67
last,66
year,65
b,63
messag,62
went,61
place,60
use,60
look,60
c,60
around,59
free,59
gonna,58
sent,58
plan,58
tonight,57
nice,57
late,57
soon,56
talk,56
mani,56
guy,56
first,56
person,56
alway,56
start,55
dun,55
us,55
ya,55
msg,54
gud,53
could,53
wan,53
money,53
told,53
find,52
mean,52
your,52
wont,51
check,51
happen,50
repli,50
thk,50
lot,49
peopl,48
yet,48
haha,48
fuck,47
hello,47
v,47
havent,47
thought,47
hour,46
reach,46
next,46
someon,46
class,45
done,45
stop,45
lunch,45
car,45
eat,45
job,45
fine,45
man,44
how,44
bit,44
minut,44
yup,43
stuff,43
never,43
mayb,42
heart,42
long,42
dat,42
better,41
problem,41
worri,41
end,41
cool,40
everi,40
god,40
x,40
girl,40
month,40
drive,40
quit,39
help,39
wonder,39
may,39
mind,39
pay,38
best,38
th,38
lar,38
room,38
min,38
name,37
bring,37
boy,37
hous,37
shop,36
readi,36
yo,36
kiss,36
put,35
shit,35
birthday,35
big,35
guess,35
liao,35
jus,35
anoth,35
dinner,35
sweet,35
sir,34
actual,34
noth,34
rememb,34
show,34
might,34
world,34
word,34
what,33
earli,33
stay,33
hes,33
aight,33
probabl,33
princess,32
hurt,32
book,32
special,32
pa,32
den,32
bed,32
enjoy,32
chang,32
ever,32
thanx,32
dunno,31
two,31
wake,31
luv,31
bad,31
anyway,31
forgot,31
run,31
ah,30
id,30
hear,30
dad,30
bus,30
babi,30
left,29
leh,29
everyth,29
shall,29
school,29
shes,29
walk,29
face,29
tmr,28
doesnt,28
pain,28
made,28
without,28
sat,28
wanna,28
afternoon,28
dis,28
test,27
play,27
mail,27
decid,27
wif,27
